Happy Birthday to Me;88;No
Final Notice;88;No
Gonzo Presents Muppet Weird Stuff;88;No
Guilty by Suspicion;88;No
Swedenhielms;88;No
Raw Nerve;88;No
Five Corners;88;No
Let It Ride;88;No
New Year's Day;88;No
Fellini Satyricon;88;No
Time Machine, The;88;No
Long Voyage Home, The;88;No
Class Act;88;No
Dangerous Pursuit;88;No
Best of Times, The;88;No
Ballad of Narayama, The;88;No
Head Office;88;No
Out of Africa;88;Yes
Great Race, The;88;No
Terror, The;88;No
They Were Expendable;88;No
French Connection, The;88;Yes
Creature from Black Lake;88;No
Blood in, Blood Out;88;No
Jeremiah Johnson;88;No
Destroyer;87;No
City of Joy;87;No
Choice of Arms;87;No
Jean de Florette;87;Yes
Three Days of the Condor;87;No
Three Strange Loves;87;No
Superman, The Movie;87;No
Star Trek V: The Final Frontier;87;No
Law & Order;87;No
B. A. D. Cats;87;No
X, Y & Zee;87;No
Adventures of Rex & Rinty, The;87;No
Russkies;87;No
John Wayne Six Pack;87;No
For Your Eyes Only;86;No
Twin Peaks;86;No
Fat Man & Little Boy;86;No
Libeled Lady;86;No
Golden Child, The;86;No
Bliss of Mrs. Blossom, The;86;No
Sacketts, The;86;No
Out of the Darkness;86;No
Fozzie's Muppet Scrapbook;86;No
Prince & the Pauper, The;86;No
Viva Zapata!;86;Yes
Secret Policeman's Other Ball, The;86;No
Harper;86;No
Magic;85;No
Party Girl;85;No
As You Desire Me;85;No
Inserts;85;No
Man Who Shot Liberty Valance, The;85;No
Bury Me Not on the Lone Prairie;85;No
Man from Montana;85;No
Daphnis & Chloe;85;No
Phantom of the Ritz;85;No
That Lucky Touch;85;No
Raven, The;85;No
Sanshiro Sugata;85;No
Marrying Man, The;84;No
King of Comedy;84;No
She Wore a Yellow Ribbon;84;No
Surrender;84;No
Gunfight at the OK Corral;84;No
Arrowsmith;84;No
Say Goodbye Maggie Cole;84;No
Dick Tracy;84;No
Crimes of the Heart;84;No
Love & Death;84;No
Legend of the Lost;84;No
Angel & the Badman;84;No
Ruthless People;84;No
Catamount Killing, The;84;No
My Science Project;84;No
Twilight's Last Gleaming;84;No
Taps;84;No
Kelly's Heroes;84;No
Big Bad John;84;No
D-Day, The Sixth of June;84;No
Othello;84;No
A New Leaf;83;No
Doctor at Sea;83;No
Getting Straight;83;No
Monty Python & the Holy Grail;83;No
Sting, The;83;Yes
Rape of the Sabines, The;83;No
Places in the Heart;83;Yes
Woman of Affairs;83;No
Two Women;83;Yes
Ape Man, The;83;No
Back Door to Heaven;83;No
Dillinger;83;No
What's New Pussycat;83;No
Romancing the Stone;83;No
2001: A Space Odyssey;83;No
Alien;83;No
Swing It, Sailor!;83;No
A Clockwork Orange;83;Yes
Overland Stage Raiders;83;No
El Rublo de las Dos Caras;83;No
